"","Module","Policy","ISO","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source","Policy_name","Broad_category","Policytype_detail_new","Market_non_market","label","High_income"
"1","Buildings","BuildingEnergyCodes","USA",1999,5,"NMBI","Performance Standards",5,0,0,1,0,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",1
"2","Buildings","BuildingEnergyCodes","FIN",1999,5,"NMBI","Performance Standards",5,0,0,1,0,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",1
"3","Buildings","BuildingEnergyCodes","TUR",1999,5,"NMBI","Performance Standards",5,0,0,1,0,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",0
"4","Buildings","MEPS of appliances","AUS",1999,5,"NMBI","Performance Standards",5,0,0,1,0,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",1
"5","Buildings","MEPS of appliances","JPN",1999,8,"NMBI","Performance Standards",5,0,0,1,0,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",1
"6","Electricity","AirEmissionStandards","JPN",1999,5,"NMBI","Performance Standards",2,0,0,1,0,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"7","Transport","Excise Tax Transport","KOR",1999,5,"MBI","Carbon Pricing",2,0,0,1,0,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",0
"8","Transport","Investment in Rail Infrastructure","RUS",1999,8,"NMBI","Other NMBI",2,0,0,1,0,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",0
"9","Transport","Investment in Rail Infrastructure","HUN",1999,8,"NMBI","Other NMBI",2,0,0,1,0,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"10","Transport","Investment in Rail Infrastructure","ITA",1999,7,"NMBI","Other NMBI",2,0,0,1,0,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"11","Transport","Investment in Rail Infrastructure","ESP",1999,5,"NMBI","Other NMBI",2,0,0,1,0,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"12","Transport","Investment in Rail Infrastructure","DEU",1999,8,"NMBI","Other NMBI",2,0,0,1,0,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"13","Transport","Labels Passenger Cars","GBR",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"14","Transport","Labels Passenger Cars","DEU",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"15","Transport","Labels Passenger Cars","PRT",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"16","Transport","Labels Passenger Cars","SWE",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
